DP Date;P Produit;c Chute;reincorpo_maxi(p, dp, c)
2022-04-22 00:00:00;product_10;chute_11;1208
2022-05-03 00:00:00;product_10;chute_11;1243
2022-05-04 00:00:00;product_10;chute_11;1243
2022-05-05 00:00:00;product_10;chute_11;1243
2022-03-24 00:00:00;product_10;chute_12;1220
2022-03-25 00:00:00;product_10;chute_12;1220
2022-03-26 00:00:00;product_10;chute_12;1220
2022-04-01 00:00:00;product_10;chute_12;1220
2022-04-02 00:00:00;product_10;chute_12;1220
2022-04-03 00:00:00;product_10;chute_12;1196
2022-04-14 00:00:00;product_10;chute_12;1196
2022-04-15 00:00:00;product_10;chute_12;1208
2022-04-16 00:00:00;product_10;chute_12;1208
2022-04-20 00:00:00;product_10;chute_12;1208
2022-04-21 00:00:00;product_10;chute_12;1208
2022-04-22 00:00:00;product_10;chute_12;1208
